No,Lat,Long
Home,-7.285403,112.790251
1,-7.283331,112.792354
2,-7.284182,112.792724
3,-7.284182,112.792724
4,-7.283678,112.793272
5,-7.283295,112.793149
6,-7.283130,112.792047
7,-7.283367,112.791725
8,-7.283891,112.792052
9,-7.283550,112.792650
10,-7.283662,112.792830
